Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,CIF Trade Value (US$),FOB Trade Value (US$)
2019,2019,M,El Salvador,SLV,World,All CPCs,All MOTs,TOTAL,All Commodities,12017559344 ,12017559345,
2019,2019,M,"China, Macao SAR",MAC,World,All CPCs,All MOTs,TOTAL,All Commodities,12024018851 ,12024018851,
2017,2017,M,Uzbekistan,UZB,World,All CPCs,All MOTs,TOTAL,All Commodities,12034948143 ,12034948143,
2018,2018,M,"China, Macao SAR",MAC,World,All CPCs,All MOTs,TOTAL,All Commodities,12068649824 ,12068649824,
2019,2019,M,Paraguay,PRY,World,All CPCs,All MOTs,TOTAL,All Commodities,12187394825 ,12187394825,
2016,2016,M,Cambodia,KHM,World,All CPCs,All MOTs,TOTAL,All Commodities,12371008437 ,12371008437,
2017,2017,M,Ghana,GHA,World,All CPCs,All MOTs,TOTAL,All Commodities,12718141844 ,12718141844,
2018,2018,M,Paraguay,PRY,World,All CPCs,All MOTs,TOTAL,All Commodities,13336020989 ,13336020989,12435280009
2018,2018,M,Libya,LBY,World,All CPCs,All MOTs,TOTAL,All Commodities,13472909218 ,13472909218,
2019,2019,M,Azerbaijan,AZE,World,All CPCs,All MOTs,TOTAL,All Commodities,13649506476 ,13649506476,0
2016,2016,M,Latvia,LVA,World,All CPCs,All MOTs,TOTAL,All Commodities,13736506776 ,13736506777,
2015,2015,M,Latvia,LVA,World,All CPCs,All MOTs,TOTAL,All Commodities,14095807354 ,14095807355,
2016,2016,M,Kenya,KEN,World,All CPCs,All MOTs,TOTAL,All Commodities,14113435915 ,14113435916,
2017,2017,M,Cambodia,KHM,World,All CPCs,All MOTs,TOTAL,All Commodities,14283414116 ,14283414116,
2016,2016,M,Angola,AGO,World,All CPCs,All MOTs,TOTAL,All Commodities,14347710497 ,14347710498,
2015,2015,M,Ghana,GHA,World,All CPCs,All MOTs,TOTAL,All Commodities,14687476669 ,14687476669,
2015,2015,M,United Rep. of Tanzania,TZA,World,All CPCs,All MOTs,TOTAL,All Commodities,14705968733 ,14705968733,
2016,2016,M,Bahrain,BHR,World,All CPCs,All MOTs,TOTAL,All Commodities,14748516726 ,14748516727,
2018,2018,M,Ethiopia,ETH,World,All CPCs,All MOTs,TOTAL,All Commodities,14985595756 ,14985595757,
2016,2016,M,Costa Rica,CRI,World,All CPCs,All MOTs,TOTAL,All Commodities,15321512292 ,15321512292,
2020,2020,M,Kenya,KEN,World,All CPCs,All MOTs,TOTAL,All Commodities,15405370570 ,15405370571,
2017,2017,M,Angola,AGO,World,All CPCs,All MOTs,TOTAL,All Commodities,15462313478 ,15462313478,14164367582
2015,2015,M,Costa Rica,CRI,World,All CPCs,All MOTs,TOTAL,All Commodities,15504422756 ,15504422756,
2016,2016,M,Estonia,EST,World,All CPCs,All MOTs,TOTAL,All Commodities,15682263347 ,15682263348,
2016,2016,M,Myanmar,MMR,World,All CPCs,All MOTs,TOTAL,All Commodities,15695737666 ,15695737667,
