Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,CIF Trade Value (US$),FOB Trade Value (US$)
2015,2015,M,Greece,GRC,World,All CPCs,All MOTs,TOTAL,All Commodities,47263979668 ,47263979668,
2019,2019,M,Nigeria,NGA,World,All CPCs,All MOTs,TOTAL,All Commodities,47369076912 ,47369076912,
2016,2016,M,Greece,GRC,World,All CPCs,All MOTs,TOTAL,All Commodities,47595035419 ,47595035419,
2015,2015,M,Bangladesh,BGD,World,All CPCs,All MOTs,TOTAL,All Commodities,48058710041 ,48058710041,
2019,2019,M,Argentina,ARG,World,All CPCs,All MOTs,TOTAL,All Commodities,49125029975 ,49125029976,46928338267
2017,2017,M,Ukraine,UKR,World,All CPCs,All MOTs,TOTAL,All Commodities,49439155766 ,49439155766,
2019,2019,M,Pakistan,PAK,World,All CPCs,All MOTs,TOTAL,All Commodities,50063059560 ,50063059560,
2019,2019,M,Morocco,MAR,World,All CPCs,All MOTs,TOTAL,All Commodities,51074849808 ,51074849809,
2018,2018,M,Colombia,COL,World,All CPCs,All MOTs,TOTAL,All Commodities,51230566648 ,51230566648,48944670981
2018,2018,M,Morocco,MAR,World,All CPCs,All MOTs,TOTAL,All Commodities,51298958639 ,51298958640,
2017,2017,M,Iran,IRN,World,All CPCs,All MOTs,TOTAL,All Commodities,51612276867 ,51612276867,
2015,2015,M,Algeria,DZA,World,All CPCs,All MOTs,TOTAL,All Commodities,51803071085 ,51803071085,
2019,2019,M,Colombia,COL,World,All CPCs,All MOTs,TOTAL,All Commodities,52695881703 ,52695881704,50264075073
2015,2015,M,Colombia,COL,World,All CPCs,All MOTs,TOTAL,All Commodities,54035533653 ,54035533653,
2017,2017,M,Greece,GRC,World,All CPCs,All MOTs,TOTAL,All Commodities,55300597553 ,55300597553,
2020,2020,M,Greece,GRC,World,All CPCs,All MOTs,TOTAL,All Commodities,55533637799 ,55533637799,0
2016,2016,M,Argentina,ARG,World,All CPCs,All MOTs,TOTAL,All Commodities,55910810438 ,55910810438,53602464964
2018,2018,M,Ukraine,UKR,World,All CPCs,All MOTs,TOTAL,All Commodities,57187093429 ,57187093430,
2017,2017,M,Pakistan,PAK,World,All CPCs,All MOTs,TOTAL,All Commodities,57440012500 ,57440012501,
2016,2016,M,Chile,CHL,World,All CPCs,All MOTs,TOTAL,All Commodities,58760906357 ,58760906358,55272414148
2018,2018,M,Pakistan,PAK,World,All CPCs,All MOTs,TOTAL,All Commodities,60162862445 ,60162862446,
2015,2015,M,Finland,FIN,World,All CPCs,All MOTs,TOTAL,All Commodities,60174387730 ,60174387730,
2015,2015,M,Argentina,ARG,World,All CPCs,All MOTs,TOTAL,All Commodities,60202843498 ,60202843499,57679401972
2020,2020,M,Egypt,EGY,World,All CPCs,All MOTs,TOTAL,All Commodities,60279553520 ,60279553520,0
2016,2016,M,Finland,FIN,World,All CPCs,All MOTs,TOTAL,All Commodities,60501949554 ,60501949554,
2015,2015,M,Israel,ISR,World,All CPCs,All MOTs,TOTAL,All Commodities,62067788000 ,62067788000,
2019,2019,M,Greece,GRC,World,All CPCs,All MOTs,TOTAL,All Commodities,62198045283 ,62198045283,
2015,2015,M,Chile,CHL,World,All CPCs,All MOTs,TOTAL,All Commodities,62386716957 ,62386716957,58607849569
2017,2017,M,Chile,CHL,World,All CPCs,All MOTs,TOTAL,All Commodities,65061731101 ,65061731101,61306947995
2018,2018,M,Greece,GRC,World,All CPCs,All MOTs,TOTAL,All Commodities,65141447585 ,65141447585,
2018,2018,M,Argentina,ARG,World,All CPCs,All MOTs,TOTAL,All Commodities,65440966165 ,65440966166,62485922761
2016,2016,M,Israel,ISR,World,All CPCs,All MOTs,TOTAL,All Commodities,65802693000 ,65802693000,
2017,2017,M,Egypt,EGY,World,All CPCs,All MOTs,TOTAL,All Commodities,66763869710 ,66763869711,
2017,2017,M,Argentina,ARG,World,All CPCs,All MOTs,TOTAL,All Commodities,66899299586 ,66899299587,63971043719
2015,2015,M,Portugal,PRT,World,All CPCs,All MOTs,TOTAL,All Commodities,66909182383 ,66909182384,
2020,2020,M,Finland,FIN,World,All CPCs,All MOTs,TOTAL,All Commodities,67868734887 ,67868734887,0
2016,2016,M,Portugal,PRT,World,All CPCs,All MOTs,TOTAL,All Commodities,67952834136 ,67952834137,
2020,2020,M,South Africa,ZAF,World,All CPCs,All MOTs,TOTAL,All Commodities,68943156587 ,,68943156588
2017,2017,M,Israel,ISR,World,All CPCs,All MOTs,TOTAL,All Commodities,69115976000 ,69115976000,
2019,2019,M,Chile,CHL,World,All CPCs,All MOTs,TOTAL,All Commodities,69591297855 ,69591297856,65501198947
2015,2015,M,Romania,ROU,World,All CPCs,All MOTs,TOTAL,All Commodities,69857682405 ,69857682405,
2017,2017,M,Finland,FIN,World,All CPCs,All MOTs,TOTAL,All Commodities,70100319875 ,70100319875,
2015,2015,M,Philippines,PHL,World,All CPCs,All MOTs,TOTAL,All Commodities,70153466327 ,70153466327,
2020,2020,M,Israel,ISR,World,All CPCs,All MOTs,TOTAL,All Commodities,70162157000 ,70162157000,
2016,2016,M,Egypt,EGY,World,All CPCs,All MOTs,TOTAL,All Commodities,70649458498 ,70649458498,
2016,2016,M,Norway,NOR,World,All CPCs,All MOTs,TOTAL,All Commodities,72809787770 ,72809787770,
2015,2015,M,Slovakia,SVK,World,All CPCs,All MOTs,TOTAL,All Commodities,73053050320 ,73053050321,71462385375
2019,2019,M,Finland,FIN,World,All CPCs,All MOTs,TOTAL,All Commodities,73719857019 ,73719857019,
2015,2015,M,Egypt,EGY,World,All CPCs,All MOTs,TOTAL,All Commodities,73975173536 ,73975173536,
2018,2018,M,Chile,CHL,World,All CPCs,All MOTs,TOTAL,All Commodities,74187323277 ,74187323278,
2016,2016,M,Romania,ROU,World,All CPCs,All MOTs,TOTAL,All Commodities,74604616829 ,74604616829,
2016,2016,M,Slovakia,SVK,World,All CPCs,All MOTs,TOTAL,All Commodities,74920610772 ,74920610773,
2016,2016,M,South Africa,ZAF,World,All CPCs,All MOTs,TOTAL,All Commodities,75149135298 ,,75149135298
2015,2015,M,Norway,NOR,World,All CPCs,All MOTs,TOTAL,All Commodities,76399025807 ,76399025808,
2019,2019,M,Israel,ISR,World,All CPCs,All MOTs,TOTAL,All Commodities,76578559000 ,76578559000,
2018,2018,M,Israel,ISR,World,All CPCs,All MOTs,TOTAL,All Commodities,76584110000 ,76584110000,
2020,2020,M,Portugal,PRT,World,All CPCs,All MOTs,TOTAL,All Commodities,77487040976 ,77487040977,
2015,2015,M,Ireland,IRL,World,All CPCs,All MOTs,TOTAL,All Commodities,77795266456 ,77795266456,
2018,2018,M,Finland,FIN,World,All CPCs,All MOTs,TOTAL,All Commodities,78352161411 ,78352161412,
2019,2019,M,Egypt,EGY,World,All CPCs,All MOTs,TOTAL,All Commodities,78657517973 ,78657517973,
2017,2017,M,Portugal,PRT,World,All CPCs,All MOTs,TOTAL,All Commodities,78746119203 ,78746119204,
2017,2017,M,Slovakia,SVK,World,All CPCs,All MOTs,TOTAL,All Commodities,81935090097 ,81935090098,
2016,2016,M,Ireland,IRL,World,All CPCs,All MOTs,TOTAL,All Commodities,82028942307 ,82028942307,
2018,2018,M,Egypt,EGY,World,All CPCs,All MOTs,TOTAL,All Commodities,82444514414 ,82444514415,
2017,2017,M,South Africa,ZAF,World,All CPCs,All MOTs,TOTAL,All Commodities,83086880674 ,,83086880674
2016,2016,M,Denmark,DNK,World,All CPCs,All MOTs,TOTAL,All Commodities,84427760620 ,84427760620,
2017,2017,M,Romania,ROU,World,All CPCs,All MOTs,TOTAL,All Commodities,85318177451 ,85318177451,
2015,2015,M,Denmark,DNK,World,All CPCs,All MOTs,TOTAL,All Commodities,85327361281 ,85327361281,
2015,2015,M,South Africa,ZAF,World,All CPCs,All MOTs,TOTAL,All Commodities,85510966342 ,,85510966343
2017,2017,M,Norway,NOR,World,All CPCs,All MOTs,TOTAL,All Commodities,85525862977 ,85525862977,
2016,2016,M,Philippines,PHL,World,All CPCs,All MOTs,TOTAL,All Commodities,85908572116 ,85908572116,
2019,2019,M,Norway,NOR,World,All CPCs,All MOTs,TOTAL,All Commodities,86144982447 ,86144982448,
2017,2017,M,Ireland,IRL,World,All CPCs,All MOTs,TOTAL,All Commodities,86813054664 ,86813054665,
2018,2018,M,Norway,NOR,World,All CPCs,All MOTs,TOTAL,All Commodities,87434996146 ,87434996146,
2019,2019,M,South Africa,ZAF,World,All CPCs,All MOTs,TOTAL,All Commodities,88037490927 ,,88037490928
2019,2019,M,Portugal,PRT,World,All CPCs,All MOTs,TOTAL,All Commodities,89541379731 ,89541379731,
2015,2015,M,Hungary,HUN,World,All CPCs,All MOTs,TOTAL,All Commodities,90760850877 ,90760850877,
2019,2019,M,Slovakia,SVK,World,All CPCs,All MOTs,TOTAL,All Commodities,90908108589 ,90908108589,88715866414
2017,2017,M,Denmark,DNK,World,All CPCs,All MOTs,TOTAL,All Commodities,92117788022 ,92117788023,
2016,2016,M,Hungary,HUN,World,All CPCs,All MOTs,TOTAL,All Commodities,92209667137 ,92209667137,
2018,2018,M,South Africa,ZAF,World,All CPCs,All MOTs,TOTAL,All Commodities,92636961890 ,,92636961891
2018,2018,M,Slovakia,SVK,World,All CPCs,All MOTs,TOTAL,All Commodities,92952834583 ,92952834583,90673778040
2018,2018,M,Portugal,PRT,World,All CPCs,All MOTs,TOTAL,All Commodities,95629298715 ,95629298715,
2020,2020,M,Denmark,DNK,World,All CPCs,All MOTs,TOTAL,All Commodities,95993415086 ,95993415087,
2019,2019,M,Romania,ROU,World,All CPCs,All MOTs,TOTAL,All Commodities,96644318708 ,96644318709,
2019,2019,M,Denmark,DNK,World,All CPCs,All MOTs,TOTAL,All Commodities,97209693724 ,97209693724,
2020,2020,M,Ireland,IRL,World,All CPCs,All MOTs,TOTAL,All Commodities,97524587378 ,97524587378,0
2018,2018,M,Romania,ROU,World,All CPCs,All MOTs,TOTAL,All Commodities,97877632897 ,97877632898,
2019,2019,M,Ireland,IRL,World,All CPCs,All MOTs,TOTAL,All Commodities,101000000000 ,1.01E+11,
2018,2018,M,Denmark,DNK,World,All CPCs,All MOTs,TOTAL,All Commodities,102000000000 ,1.02E+11,
2017,2017,M,Philippines,PHL,World,All CPCs,All MOTs,TOTAL,All Commodities,102000000000 ,1.02E+11,
2017,2017,M,Hungary,HUN,World,All CPCs,All MOTs,TOTAL,All Commodities,104000000000 ,1.04E+11,
2018,2018,M,Ireland,IRL,World,All CPCs,All MOTs,TOTAL,All Commodities,107000000000 ,1.07E+11,
2020,2020,M,Hungary,HUN,World,All CPCs,All MOTs,TOTAL,All Commodities,113000000000 ,1.13E+11,0
2018,2018,M,Philippines,PHL,World,All CPCs,All MOTs,TOTAL,All Commodities,115000000000 ,1.15E+11,1.09E+11
2018,2018,M,Hungary,HUN,World,All CPCs,All MOTs,TOTAL,All Commodities,117000000000 ,1.17E+11,
2019,2019,M,Hungary,HUN,World,All CPCs,All MOTs,TOTAL,All Commodities,117000000000 ,1.17E+11,
2019,2019,M,Philippines,PHL,World,All CPCs,All MOTs,TOTAL,All Commodities,117000000000 ,1.17E+11,
2017,2017,M,Saudi Arabia,SAU,World,All CPCs,All MOTs,TOTAL,All Commodities,135000000000 ,1.35E+11,
2018,2018,M,Saudi Arabia,SAU,World,All CPCs,All MOTs,TOTAL,All Commodities,135000000000 ,1.35E+11,
2016,2016,M,Indonesia,IDN,World,All CPCs,All MOTs,TOTAL,All Commodities,136000000000 ,1.36E+11,
2016,2016,M,Brazil,BRA,World,All CPCs,All MOTs,TOTAL,All Commodities,138000000000 ,1.38E+11,
2015,2015,M,Sweden,SWE,World,All CPCs,All MOTs,TOTAL,All Commodities,138000000000 ,1.38E+11,
2016,2016,M,Saudi Arabia,SAU,World,All CPCs,All MOTs,TOTAL,All Commodities,140000000000 ,1.40E+11,
2015,2015,M,Czechia,CZE,World,All CPCs,All MOTs,TOTAL,All Commodities,141000000000 ,1.41E+11,
2016,2016,M,Sweden,SWE,World,All CPCs,All MOTs,TOTAL,All Commodities,141000000000 ,1.41E+11,
2016,2016,M,Czechia,CZE,World,All CPCs,All MOTs,TOTAL,All Commodities,142000000000 ,1.42E+11,
2015,2015,M,Indonesia,IDN,World,All CPCs,All MOTs,TOTAL,All Commodities,143000000000 ,1.43E+11,
2019,2019,M,Saudi Arabia,SAU,World,All CPCs,All MOTs,TOTAL,All Commodities,144000000000 ,1.44E+11,
2015,2015,M,Austria,AUT,World,All CPCs,All MOTs,TOTAL,All Commodities,148000000000 ,1.48E+11,
2016,2016,M,Austria,AUT,World,All CPCs,All MOTs,TOTAL,All Commodities,150000000000 ,1.50E+11,
2017,2017,M,Brazil,BRA,World,All CPCs,All MOTs,TOTAL,All Commodities,151000000000 ,,1.51E+11
2017,2017,M,Sweden,SWE,World,All CPCs,All MOTs,TOTAL,All Commodities,154000000000 ,1.54E+11,
2017,2017,M,Indonesia,IDN,World,All CPCs,All MOTs,TOTAL,All Commodities,157000000000 ,1.57E+11,
2019,2019,M,Sweden,SWE,World,All CPCs,All MOTs,TOTAL,All Commodities,159000000000 ,1.59E+11,
2017,2017,M,Czechia,CZE,World,All CPCs,All MOTs,TOTAL,All Commodities,163000000000 ,1.63E+11,1.58E+11
2017,2017,M,Austria,AUT,World,All CPCs,All MOTs,TOTAL,All Commodities,166000000000 ,1.66E+11,
2015,2015,M,Viet Nam,VNM,World,All CPCs,All MOTs,TOTAL,All Commodities,166000000000 ,1.66E+11,
2016,2016,M,Malaysia,MYS,World,All CPCs,All MOTs,TOTAL,All Commodities,168000000000 ,1.68E+11,
2020,2020,M,Czechia,CZE,World,All CPCs,All MOTs,TOTAL,All Commodities,169000000000 ,1.69E+11,1.63E+11
2018,2018,M,Sweden,SWE,World,All CPCs,All MOTs,TOTAL,All Commodities,171000000000 ,1.71E+11,
2015,2015,M,Brazil,BRA,World,All CPCs,All MOTs,TOTAL,All Commodities,171000000000 ,1.71E+11,
2019,2019,M,Indonesia,IDN,World,All CPCs,All MOTs,TOTAL,All Commodities,171000000000 ,1.71E+11,
2015,2015,M,Saudi Arabia,SAU,World,All CPCs,All MOTs,TOTAL,All Commodities,175000000000 ,1.75E+11,
2016,2016,M,Viet Nam,VNM,World,All CPCs,All MOTs,TOTAL,All Commodities,175000000000 ,1.75E+11,
2015,2015,M,Malaysia,MYS,World,All CPCs,All MOTs,TOTAL,All Commodities,176000000000 ,1.76E+11,
2019,2019,M,Austria,AUT,World,All CPCs,All MOTs,TOTAL,All Commodities,177000000000 ,1.77E+11,
2019,2019,M,Brazil,BRA,World,All CPCs,All MOTs,TOTAL,All Commodities,177000000000 ,,1.77E+11
2019,2019,M,Czechia,CZE,World,All CPCs,All MOTs,TOTAL,All Commodities,179000000000 ,1.79E+11,1.74E+11
2018,2018,M,Brazil,BRA,World,All CPCs,All MOTs,TOTAL,All Commodities,181000000000 ,,1.81E+11
2015,2015,M,Russian Federation,RUS,World,All CPCs,All MOTs,TOTAL,All Commodities,183000000000 ,1.83E+11,
2018,2018,M,Austria,AUT,World,All CPCs,All MOTs,TOTAL,All Commodities,184000000000 ,1.84E+11,
2018,2018,M,Czechia,CZE,World,All CPCs,All MOTs,TOTAL,All Commodities,185000000000 ,1.85E+11,1.80E+11
2018,2018,M,Indonesia,IDN,World,All CPCs,All MOTs,TOTAL,All Commodities,189000000000 ,1.89E+11,
2016,2016,M,Australia,AUS,World,All CPCs,All MOTs,TOTAL,All Commodities,189000000000 ,1.89E+11,
2016,2016,M,Poland,POL,World,All CPCs,All MOTs,TOTAL,All Commodities,189000000000 ,1.89E+11,
2015,2015,M,Poland,POL,World,All CPCs,All MOTs,TOTAL,All Commodities,190000000000 ,1.90E+11,
2017,2017,M,Malaysia,MYS,World,All CPCs,All MOTs,TOTAL,All Commodities,194000000000 ,1.94E+11,
2016,2016,M,Thailand,THA,World,All CPCs,All MOTs,TOTAL,All Commodities,194000000000 ,1.94E+11,
2016,2016,M,Turkey,TUR,World,All CPCs,All MOTs,TOTAL,All Commodities,199000000000 ,1.99E+11,
2015,2015,M,Australia,AUS,World,All CPCs,All MOTs,TOTAL,All Commodities,200000000000 ,2.00E+11,
2015,2015,M,Thailand,THA,World,All CPCs,All MOTs,TOTAL,All Commodities,203000000000 ,2.03E+11,
2019,2019,M,Malaysia,MYS,World,All CPCs,All MOTs,TOTAL,All Commodities,205000000000 ,2.05E+11,
2016,2016,M,Russian Federation,RUS,World,All CPCs,All MOTs,TOTAL,All Commodities,207000000000 ,2.07E+11,
2015,2015,M,Turkey,TUR,World,All CPCs,All MOTs,TOTAL,All Commodities,207000000000 ,2.07E+11,
2019,2019,M,Turkey,TUR,World,All CPCs,All MOTs,TOTAL,All Commodities,210000000000 ,2.10E+11,2.00E+11
2017,2017,M,Viet Nam,VNM,World,All CPCs,All MOTs,TOTAL,All Commodities,213000000000 ,2.13E+11,
2018,2018,M,Malaysia,MYS,World,All CPCs,All MOTs,TOTAL,All Commodities,217000000000 ,2.17E+11,
2019,2019,M,Thailand,THA,World,All CPCs,All MOTs,TOTAL,All Commodities,217000000000 ,2.17E+11,
2017,2017,M,Poland,POL,World,All CPCs,All MOTs,TOTAL,All Commodities,218000000000 ,2.18E+11,
2019,2019,M,Australia,AUS,World,All CPCs,All MOTs,TOTAL,All Commodities,221000000000 ,2.21E+11,
2017,2017,M,Thailand,THA,World,All CPCs,All MOTs,TOTAL,All Commodities,222000000000 ,2.22E+11,
2018,2018,M,Turkey,TUR,World,All CPCs,All MOTs,TOTAL,All Commodities,223000000000 ,2.23E+11,
2017,2017,M,Australia,AUS,World,All CPCs,All MOTs,TOTAL,All Commodities,229000000000 ,2.29E+11,2.21E+11
2015,2015,M,"Other Asia, nes",S19,World,All CPCs,All MOTs,TOTAL,All Commodities,229000000000 ,2.29E+11,
2016,2016,M,"Other Asia, nes",S19,World,All CPCs,All MOTs,TOTAL,All Commodities,231000000000 ,2.31E+11,
2017,2017,M,Turkey,TUR,World,All CPCs,All MOTs,TOTAL,All Commodities,234000000000 ,2.34E+11,
2018,2018,M,Australia,AUS,World,All CPCs,All MOTs,TOTAL,All Commodities,236000000000 ,2.36E+11,2.27E+11
2018,2018,M,Viet Nam,VNM,World,All CPCs,All MOTs,TOTAL,All Commodities,237000000000 ,2.37E+11,
2018,2018,M,Russian Federation,RUS,World,All CPCs,All MOTs,TOTAL,All Commodities,240000000000 ,2.40E+11,
2018,2018,M,United Arab Emirates,ARE,World,All CPCs,All MOTs,TOTAL,All Commodities,245000000000 ,2.45E+11,
2019,2019,M,Poland,POL,World,All CPCs,All MOTs,TOTAL,All Commodities,247000000000 ,2.47E+11,
2019,2019,M,Russian Federation,RUS,World,All CPCs,All MOTs,TOTAL,All Commodities,247000000000 ,2.47E+11,
2018,2018,M,Thailand,THA,World,All CPCs,All MOTs,TOTAL,All Commodities,249000000000 ,2.49E+11,
2015,2015,M,Switzerland,CHE,World,All CPCs,All MOTs,TOTAL,All Commodities,253000000000 ,2.53E+11,
2019,2019,M,Viet Nam,VNM,World,All CPCs,All MOTs,TOTAL,All Commodities,253000000000 ,2.53E+11,
2017,2017,M,United Arab Emirates,ARE,World,All CPCs,All MOTs,TOTAL,All Commodities,258000000000 ,2.58E+11,
2017,2017,M,"Other Asia, nes",S19,World,All CPCs,All MOTs,TOTAL,All Commodities,260000000000 ,2.60E+11,
2017,2017,M,Russian Federation,RUS,World,All CPCs,All MOTs,TOTAL,All Commodities,260000000000 ,2.60E+11,
2018,2018,M,Poland,POL,World,All CPCs,All MOTs,TOTAL,All Commodities,268000000000 ,2.68E+11,
2017,2017,M,Switzerland,CHE,World,All CPCs,All MOTs,TOTAL,All Commodities,268000000000 ,2.68E+11,
2016,2016,M,Switzerland,CHE,World,All CPCs,All MOTs,TOTAL,All Commodities,269000000000 ,2.69E+11,
2016,2016,M,United Arab Emirates,ARE,World,All CPCs,All MOTs,TOTAL,All Commodities,271000000000 ,2.71E+11,
2019,2019,M,Switzerland,CHE,World,All CPCs,All MOTs,TOTAL,All Commodities,276000000000 ,2.76E+11,
2018,2018,M,Switzerland,CHE,World,All CPCs,All MOTs,TOTAL,All Commodities,279000000000 ,2.79E+11,
2018,2018,M,"Other Asia, nes",S19,World,All CPCs,All MOTs,TOTAL,All Commodities,286000000000 ,2.86E+11,
2019,2019,M,"Other Asia, nes",S19,World,All CPCs,All MOTs,TOTAL,All Commodities,286000000000 ,2.86E+11,
2015,2015,M,United Arab Emirates,ARE,World,All CPCs,All MOTs,TOTAL,All Commodities,287000000000 ,2.87E+11,
2019,2019,M,United Arab Emirates,ARE,World,All CPCs,All MOTs,TOTAL,All Commodities,288000000000 ,2.88E+11,
2020,2020,M,Switzerland,CHE,World,All CPCs,All MOTs,TOTAL,All Commodities,290000000000 ,2.90E+11,
2016,2016,M,Singapore,SGP,World,All CPCs,All MOTs,TOTAL,All Commodities,292000000000 ,2.92E+11,
2020,2020,M,Belgium,BEL,World,All CPCs,All MOTs,TOTAL,All Commodities,301000000000 ,3.01E+11,0
2016,2016,M,Spain,ESP,World,All CPCs,All MOTs,TOTAL,All Commodities,303000000000 ,3.03E+11,
2015,2015,M,Spain,ESP,World,All CPCs,All MOTs,TOTAL,All Commodities,305000000000 ,3.05E+11,
2015,2015,M,Singapore,SGP,World,All CPCs,All MOTs,TOTAL,All Commodities,308000000000 ,3.08E+11,
2017,2017,M,Singapore,SGP,World,All CPCs,All MOTs,TOTAL,All Commodities,328000000000 ,3.28E+11,
2017,2017,M,Spain,ESP,World,All CPCs,All MOTs,TOTAL,All Commodities,341000000000 ,3.41E+11,
2016,2016,M,India,IND,World,All CPCs,All MOTs,TOTAL,All Commodities,357000000000 ,3.57E+11,
2019,2019,M,Singapore,SGP,World,All CPCs,All MOTs,TOTAL,All Commodities,359000000000 ,3.59E+11,
2018,2018,M,Singapore,SGP,World,All CPCs,All MOTs,TOTAL,All Commodities,371000000000 ,3.71E+11,
2015,2015,M,Belgium,BEL,World,All CPCs,All MOTs,TOTAL,All Commodities,371000000000 ,3.71E+11,
2019,2019,M,Spain,ESP,World,All CPCs,All MOTs,TOTAL,All Commodities,375000000000 ,3.75E+11,
2016,2016,M,Belgium,BEL,World,All CPCs,All MOTs,TOTAL,All Commodities,379000000000 ,3.79E+11,
2016,2016,M,Mexico,MEX,World,All CPCs,All MOTs,TOTAL,All Commodities,387000000000 ,,3.87E+11
2018,2018,M,Spain,ESP,World,All CPCs,All MOTs,TOTAL,All Commodities,391000000000 ,3.91E+11,
2015,2015,M,India,IND,World,All CPCs,All MOTs,TOTAL,All Commodities,391000000000 ,3.91E+11,
2015,2015,M,Mexico,MEX,World,All CPCs,All MOTs,TOTAL,All Commodities,395000000000 ,,3.95E+11
2016,2016,M,Canada,CAN,World,All CPCs,All MOTs,TOTAL,All Commodities,403000000000 ,4.03E+11,
2020,2020,M,Canada,CAN,World,All CPCs,All MOTs,TOTAL,All Commodities,405000000000 ,0,4.05E+11
2016,2016,M,Rep. of Korea,KOR,World,All CPCs,All MOTs,TOTAL,All Commodities,406000000000 ,4.06E+11,
2016,2016,M,Italy,ITA,World,All CPCs,All MOTs,TOTAL,All Commodities,407000000000 ,4.07E+11,
2016,2016,M,Netherlands,NLD,World,All CPCs,All MOTs,TOTAL,All Commodities,408000000000 ,4.08E+11,
2017,2017,M,Belgium,BEL,World,All CPCs,All MOTs,TOTAL,All Commodities,409000000000 ,4.09E+11,
2015,2015,M,Italy,ITA,World,All CPCs,All MOTs,TOTAL,All Commodities,411000000000 ,4.11E+11,
2015,2015,M,Netherlands,NLD,World,All CPCs,All MOTs,TOTAL,All Commodities,413000000000 ,4.13E+11,
2017,2017,M,Mexico,MEX,World,All CPCs,All MOTs,TOTAL,All Commodities,420000000000 ,4.20E+11,
2015,2015,M,Canada,CAN,World,All CPCs,All MOTs,TOTAL,All Commodities,420000000000 ,4.20E+11,
2020,2020,M,Italy,ITA,World,All CPCs,All MOTs,TOTAL,All Commodities,423000000000 ,4.23E+11,0
2019,2019,M,Belgium,BEL,World,All CPCs,All MOTs,TOTAL,All Commodities,426000000000 ,4.26E+11,
2017,2017,M,Canada,CAN,World,All CPCs,All MOTs,TOTAL,All Commodities,432000000000 ,,4.32E+11
2015,2015,M,Rep. of Korea,KOR,World,All CPCs,All MOTs,TOTAL,All Commodities,436000000000 ,4.36E+11,
2017,2017,M,India,IND,World,All CPCs,All MOTs,TOTAL,All Commodities,444000000000 ,4.44E+11,
2017,2017,M,Italy,ITA,World,All CPCs,All MOTs,TOTAL,All Commodities,451000000000 ,4.51E+11,
2019,2019,M,Canada,CAN,World,All CPCs,All MOTs,TOTAL,All Commodities,453000000000 ,,4.53E+11
2018,2018,M,Belgium,BEL,World,All CPCs,All MOTs,TOTAL,All Commodities,455000000000 ,4.55E+11,
2019,2019,M,Mexico,MEX,World,All CPCs,All MOTs,TOTAL,All Commodities,455000000000 ,,4.55E+11
2018,2018,M,Canada,CAN,World,All CPCs,All MOTs,TOTAL,All Commodities,459000000000 ,4.59E+11,
2017,2017,M,Netherlands,NLD,World,All CPCs,All MOTs,TOTAL,All Commodities,462000000000 ,4.62E+11,
2018,2018,M,Mexico,MEX,World,All CPCs,All MOTs,TOTAL,All Commodities,464000000000 ,,4.64E+11
2019,2019,M,Italy,ITA,World,All CPCs,All MOTs,TOTAL,All Commodities,475000000000 ,4.75E+11,
2017,2017,M,Rep. of Korea,KOR,World,All CPCs,All MOTs,TOTAL,All Commodities,478000000000 ,4.78E+11,
2019,2019,M,India,IND,World,All CPCs,All MOTs,TOTAL,All Commodities,479000000000 ,4.79E+11,
2020,2020,M,Netherlands,NLD,World,All CPCs,All MOTs,TOTAL,All Commodities,483000000000 ,4.83E+11,0
2019,2019,M,Rep. of Korea,KOR,World,All CPCs,All MOTs,TOTAL,All Commodities,503000000000 ,5.03E+11,
2018,2018,M,Italy,ITA,World,All CPCs,All MOTs,TOTAL,All Commodities,504000000000 ,5.04E+11,
2018,2018,M,India,IND,World,All CPCs,All MOTs,TOTAL,All Commodities,508000000000 ,5.08E+11,
2019,2019,M,Netherlands,NLD,World,All CPCs,All MOTs,TOTAL,All Commodities,515000000000 ,5.15E+11,
2018,2018,M,Netherlands,NLD,World,All CPCs,All MOTs,TOTAL,All Commodities,521000000000 ,5.21E+11,
2018,2018,M,Rep. of Korea,KOR,World,All CPCs,All MOTs,TOTAL,All Commodities,535000000000 ,5.35E+11,
2016,2016,M,"China, Hong Kong SAR",HKG,World,All CPCs,All MOTs,TOTAL,All Commodities,547000000000 ,5.47E+11,
2015,2015,M,"China, Hong Kong SAR",HKG,World,All CPCs,All MOTs,TOTAL,All Commodities,559000000000 ,5.59E+11,
2016,2016,M,France,FRA,World,All CPCs,All MOTs,TOTAL,All Commodities,561000000000 ,5.61E+11,
2015,2015,M,France,FRA,World,All CPCs,All MOTs,TOTAL,All Commodities,563000000000 ,5.63E+11,
2020,2020,M,"China, Hong Kong SAR",HKG,World,All CPCs,All MOTs,TOTAL,All Commodities,573000000000 ,5.73E+11,
2019,2019,M,"China, Hong Kong SAR",HKG,World,All CPCs,All MOTs,TOTAL,All Commodities,579000000000 ,5.79E+11,
2017,2017,M,"China, Hong Kong SAR",HKG,World,All CPCs,All MOTs,TOTAL,All Commodities,589000000000 ,5.89E+11,
2016,2016,M,Japan,JPN,World,All CPCs,All MOTs,TOTAL,All Commodities,607000000000 ,6.07E+11,
2017,2017,M,France,FRA,World,All CPCs,All MOTs,TOTAL,All Commodities,613000000000 ,6.13E+11,
2015,2015,M,Japan,JPN,World,All CPCs,All MOTs,TOTAL,All Commodities,626000000000 ,6.26E+11,
